epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
7,1,0.6781,0.6324,0.674,0.5799,coded_tweets-AND-small-ar,0.4952,0.6225
8,1,0.6781,0.6324,0.674,0.5799,coded_tweets-AND-small-ar,0.4952,0.6225
9,1,0.6781,0.6324,0.674,0.5799,coded_tweets-AND-small-ar,0.4952,0.6225
1,2,0.3868,0.1407,0.5229,0.1107,coded_tweets-AND-small-ar,0.0513,0.1404
2,2,0.5984,0.4641,0.6198,0.3648,coded_tweets-AND-small-ar,0.2318,0.41
3,2,0.6589,0.6049,0.6438,0.5266,coded_tweets-AND-small-ar,0.4108,0.5607
4,2,0.6648,0.6103,0.6688,0.543,coded_tweets-AND-small-ar,0.4556,0.5874
5,2,0.6771,0.6225,0.6656,0.5307,coded_tweets-AND-small-ar,0.4408,0.5762
6,2,0.6764,0.6306,0.6635,0.5512,coded_tweets-AND-small-ar,0.4605,0.5956
1,3,0.3949,0.1597,0.5302,0.2029,coded_tweets-AND-small-ar,0.0502,0.1589
2,3,0.5868,0.4986,0.6177,0.4816,coded_tweets-AND-small-ar,0.2609,0.4587
3,3,0.653,0.5375,0.6448,0.4385,coded_tweets-AND-small-ar,0.3475,0.4886
4,3,0.6624,0.5958,0.6323,0.5061,coded_tweets-AND-small-ar,0.4111,0.5252
5,3,0.6737,0.5972,0.6583,0.5082,coded_tweets-AND-small-ar,0.4388,0.5431
6,3,0.6813,0.6139,0.65,0.5246,coded_tweets-AND-small-ar,0.4703,0.5606
7,3,0.6768,0.6611,0.6573,0.5758,coded_tweets-AND-small-ar,0.5088,0.6043
8,3,0.6768,0.6611,0.6573,0.5758,coded_tweets-AND-small-ar,0.5088,0.6043
9,3,0.6768,0.6611,0.6573,0.5758,coded_tweets-AND-small-ar,0.5088,0.6043
1,1,0.4034,0.1252,0.4906,0.1557,coded_tweets-AND-smaller-ar,0.0162,0.0891
2,1,0.6088,0.428,0.6062,0.3402,coded_tweets-AND-smaller-ar,0.2013,0.3662
3,1,0.6053,0.4093,0.6125,0.3115,coded_tweets-AND-smaller-ar,0.2245,0.3846
4,1,0.662,0.5271,0.6562,0.4508,coded_tweets-AND-smaller-ar,0.3413,0.5111
5,1,0.6829,0.572,0.65,0.4816,coded_tweets-AND-smaller-ar,0.3737,0.5346
