epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
3,3,0.696,0.6168,0.7194,0.6316,coded_tweets-AND-smallerCAP,0.5358,0.6392
4,3,0.7405,0.6057,0.7685,0.6159,coded_tweets-AND-smallerCAP,0.5864,0.6595
5,3,0.7643,0.5896,0.7913,0.5688,coded_tweets-AND-smallerCAP,0.5619,0.6302
6,3,0.7643,0.5896,0.7913,0.5688,coded_tweets-AND-smallerCAP,0.5619,0.6302
7,3,0.7643,0.5896,0.7913,0.5688,coded_tweets-AND-smallerCAP,0.5619,0.6302
8,3,0.7643,0.5896,0.7913,0.5688,coded_tweets-AND-smallerCAP,0.5619,0.6302
1,1,0.83,0.8212,0.7643,0.43,coded_tweets-AND-ar,0.4336,0.5078
2,1,0.8416,0.8399,0.7668,0.5495,coded_tweets-AND-ar,0.5284,0.602
3,1,0.841,0.8404,0.7581,0.5725,coded_tweets-AND-ar,0.554,0.6262
4,1,0.8515,0.8509,0.7673,0.5664,coded_tweets-AND-ar,0.5588,0.6242
5,1,0.8568,0.8548,0.779,0.5785,coded_tweets-AND-ar,0.5645,0.6352
1,2,0.8155,0.8049,0.773,0.43,coded_tweets-AND-ar,0.433,0.5138
2,2,0.8491,0.8465,0.7744,0.5845,coded_tweets-AND-ar,0.5649,0.639
3,2,0.8509,0.8469,0.7752,0.5652,coded_tweets-AND-ar,0.5643,0.6281
4,2,0.8553,0.8514,0.7801,0.5531,coded_tweets-AND-ar,0.5624,0.6217
5,2,0.8577,0.8556,0.7694,0.5821,coded_tweets-AND-ar,0.5639,0.6388
1,3,0.827,0.8211,0.7648,0.4589,coded_tweets-AND-ar,0.4689,0.5326
2,3,0.8398,0.8412,0.7466,0.5761,coded_tweets-AND-ar,0.5336,0.6055
3,3,0.8489,0.8467,0.7711,0.5338,coded_tweets-AND-ar,0.5326,0.5944
4,3,0.8546,0.8557,0.7639,0.5821,coded_tweets-AND-ar,0.5886,0.6395
5,3,0.8569,0.8578,0.7684,0.5978,coded_tweets-AND-ar,0.5885,0.6483
1,1,0.6491,0.3366,0.7103,0.2415,coded_tweets-AND-small-ar,0.1654,0.2502
2,1,0.7025,0.5935,0.7328,0.5556,coded_tweets-AND-small-ar,0.4447,0.5673
3,1,0.7486,0.5945,0.7726,0.529,coded_tweets-AND-small-ar,0.48,0.5809
4,1,0.7563,0.6043,0.7793,0.5423,coded_tweets-AND-small-ar,0.4902,0.5925
