epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
2,2,0.8026,0.8006,0.8229,0.5386,coded_tweets-AND-other-coded-tweets,0.5306,0.6172
3,2,0.8088,0.8072,0.8188,0.5474,coded_tweets-AND-other-coded-tweets,0.5285,0.6363
4,2,0.8133,0.8118,0.8246,0.5719,coded_tweets-AND-other-coded-tweets,0.53,0.6487
5,2,0.8159,0.8146,0.8188,0.5895,coded_tweets-AND-other-coded-tweets,0.5271,0.6636
1,3,0.7853,0.7839,0.7898,0.5263,coded_tweets-AND-other-coded-tweets,0.5055,0.6086
2,3,0.8024,0.8007,0.8246,0.5298,coded_tweets-AND-other-coded-tweets,0.4751,0.611
3,3,0.8102,0.809,0.8224,0.5947,coded_tweets-AND-other-coded-tweets,0.5548,0.6695
4,3,0.8142,0.8126,0.8305,0.5719,coded_tweets-AND-other-coded-tweets,0.5331,0.6464
5,3,0.8159,0.8148,0.8283,0.593,coded_tweets-AND-other-coded-tweets,0.5619,0.6587
6,3,0.819,0.8175,0.8378,0.5807,coded_tweets-AND-other-coded-tweets,0.5708,0.6588
