epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
1,1,0.6761,0.4098,0.7324,0.3418,coded_tweets-AND-small-ar,0.2339,0.3432
2,1,0.7208,0.5783,0.7595,0.5464,coded_tweets-AND-small-ar,0.4185,0.5428
3,1,0.7424,0.6311,0.7662,0.6061,coded_tweets-AND-small-ar,0.5285,0.6228
4,1,0.7679,0.6102,0.7982,0.5515,coded_tweets-AND-small-ar,0.5366,0.6041
5,1,0.7708,0.6451,0.7961,0.6086,coded_tweets-AND-small-ar,0.5875,0.6484
6,1,0.7708,0.6451,0.7961,0.6086,coded_tweets-AND-small-ar,0.5875,0.6484
7,1,0.7708,0.6451,0.7961,0.6086,coded_tweets-AND-small-ar,0.5875,0.6484
8,1,0.7708,0.6451,0.7961,0.6086,coded_tweets-AND-small-ar,0.5875,0.6484
1,2,0.6959,0.5005,0.7437,0.4625,coded_tweets-AND-small-ar,0.2986,0.4371
2,2,0.7213,0.6343,0.7433,0.601,coded_tweets-AND-small-ar,0.4887,0.5972
3,2,0.7511,0.6547,0.7711,0.6353,coded_tweets-AND-small-ar,0.5671,0.655
4,2,0.7723,0.6496,0.7936,0.6226,coded_tweets-AND-small-ar,0.5992,0.6649
5,2,0.7848,0.6639,0.8012,0.6239,coded_tweets-AND-small-ar,0.6157,0.6704
6,2,0.7848,0.6639,0.8012,0.6239,coded_tweets-AND-small-ar,0.6157,0.6704
7,2,0.7848,0.6639,0.8012,0.6239,coded_tweets-AND-small-ar,0.6157,0.6704
1,3,0.6844,0.3954,0.7395,0.3075,coded_tweets-AND-small-ar,0.2139,0.3115
2,3,0.7507,0.5746,0.7865,0.5133,coded_tweets-AND-small-ar,0.4598,0.5492
3,3,0.7521,0.6156,0.7853,0.5858,coded_tweets-AND-small-ar,0.5497,0.6266
4,3,0.7593,0.6086,0.797,0.5794,coded_tweets-AND-small-ar,0.5592,0.6307
5,3,0.7689,0.6396,0.7986,0.5934,coded_tweets-AND-small-ar,0.5695,0.6417
6,3,0.7689,0.6396,0.7986,0.5934,coded_tweets-AND-small-ar,0.5695,0.6417
7,3,0.7689,0.6396,0.7986,0.5934,coded_tweets-AND-small-ar,0.5695,0.6417
1,1,0.6594,0.3212,0.7166,0.2745,coded_tweets-AND-smaller-ar,0.1632,0.2585
