epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
1,1,0.4515,0.2808,0.5906,0.3446,coded_tweets-AND-small-ar,0.0782,0.2627
2,1,0.6135,0.5021,0.649,0.4079,coded_tweets-AND-small-ar,0.2071,0.4182
3,1,0.6645,0.5864,0.675,0.4891,coded_tweets-AND-small-ar,0.3055,0.5137
4,1,0.6984,0.6072,0.7125,0.5228,coded_tweets-AND-small-ar,0.4159,0.5739
5,1,0.7052,0.6349,0.7177,0.5584,coded_tweets-AND-small-ar,0.5048,0.6166
6,1,0.7146,0.6528,0.7177,0.5644,coded_tweets-AND-small-ar,0.5064,0.6173
7,1,0.7147,0.6763,0.7052,0.604,coded_tweets-AND-small-ar,0.5131,0.6451
8,1,0.7147,0.6763,0.7052,0.604,coded_tweets-AND-small-ar,0.5131,0.6451
9,1,0.7147,0.6763,0.7052,0.604,coded_tweets-AND-small-ar,0.5131,0.6451
10,1,0.7147,0.6763,0.7052,0.604,coded_tweets-AND-small-ar,0.5131,0.6451
1,2,0.6144,0.5014,0.6531,0.4653,coded_tweets-AND-small-ar,0.2194,0.4629
2,2,0.6863,0.5801,0.701,0.5188,coded_tweets-AND-small-ar,0.3779,0.5681
3,2,0.6711,0.5632,0.6969,0.4812,coded_tweets-AND-small-ar,0.3888,0.5492
4,2,0.6722,0.5604,0.6844,0.4574,coded_tweets-AND-small-ar,0.4115,0.5348
5,2,0.6834,0.5829,0.6979,0.4752,coded_tweets-AND-small-ar,0.4407,0.5533
1,3,0.4168,0.1704,0.5448,0.202,coded_tweets-AND-small-ar,0.0486,0.1832
2,3,0.5974,0.4803,0.6427,0.4376,coded_tweets-AND-small-ar,0.2021,0.4202
3,3,0.6268,0.5211,0.6708,0.4733,coded_tweets-AND-small-ar,0.2578,0.4644
4,3,0.677,0.5789,0.7021,0.5109,coded_tweets-AND-small-ar,0.3863,0.5563
5,3,0.659,0.5296,0.6708,0.4317,coded_tweets-AND-small-ar,0.4065,0.517
6,3,0.7037,0.6254,0.7208,0.5584,coded_tweets-AND-small-ar,0.4684,0.6152
7,3,0.716,0.6887,0.6969,0.6079,coded_tweets-AND-small-ar,0.512,0.6465
8,3,0.716,0.6887,0.6969,0.6079,coded_tweets-AND-small-ar,0.512,0.6465
9,3,0.716,0.6887,0.6969,0.6079,coded_tweets-AND-small-ar,0.512,0.6465
1,1,0.3662,0.16,0.4354,0.1861,coded_tweets-AND-smaller-ar,0.015,0.0844
2,1,0.4476,0.1562,0.5167,0.1881,coded_tweets-AND-smaller-ar,0.0324,0.1395
3,1,0.5136,0.2552,0.5615,0.2416,coded_tweets-AND-smaller-ar,0.0769,0.268
4,1,0.5724,0.3448,0.6271,0.3624,coded_tweets-AND-smaller-ar,0.1424,0.3759
5,1,0.5805,0.36,0.6365,0.3703,coded_tweets-AND-smaller-ar,0.1947,0.4107
6,1,0.6187,0.4305,0.6312,0.3881,coded_tweets-AND-smaller-ar,0.2086,0.427
7,1,0.6384,0.5124,0.6365,0.4594,coded_tweets-AND-smaller-ar,0.2517,0.4756
