epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
3,1,0.853,0.8478,0.8151,0.5318,coded_tweets-AND-ar,0.5151,0.6029
4,1,0.851,0.848,0.7965,0.5645,coded_tweets-AND-ar,0.5095,0.6216
5,1,0.8519,0.8495,0.7938,0.5336,coded_tweets-AND-ar,0.5133,0.5905
1,2,0.8364,0.8322,0.7775,0.4578,coded_tweets-AND-ar,0.4362,0.5234
2,2,0.8402,0.8408,0.7435,0.5559,coded_tweets-AND-ar,0.4699,0.5903
3,2,0.8445,0.8457,0.7547,0.5714,coded_tweets-AND-ar,0.5073,0.6109
4,2,0.8507,0.8495,0.7783,0.568,coded_tweets-AND-ar,0.5015,0.6179
1,3,0.8309,0.8251,0.7911,0.4441,coded_tweets-AND-ar,0.4617,0.4914
2,3,0.843,0.8398,0.7938,0.5181,coded_tweets-AND-ar,0.5191,0.5788
3,3,0.8399,0.8416,0.7293,0.5232,coded_tweets-AND-ar,0.5469,0.5632
4,3,0.8504,0.8483,0.7879,0.5542,coded_tweets-AND-ar,0.5196,0.6062
5,3,0.8565,0.8539,0.7874,0.537,coded_tweets-AND-ar,0.521,0.5937
1,1,0.6924,0.3571,0.7639,0.2995,coded_tweets-AND-small-ar,0.1205,0.302
2,1,0.7684,0.5218,0.8214,0.4664,coded_tweets-AND-small-ar,0.3386,0.5334
3,1,0.7653,0.5593,0.8101,0.5095,coded_tweets-AND-small-ar,0.359,0.5651
4,1,0.7479,0.588,0.7725,0.5525,coded_tweets-AND-small-ar,0.4032,0.5894
5,1,0.7766,0.6092,0.8142,0.5731,coded_tweets-AND-small-ar,0.4616,0.6242
6,1,0.774,0.6255,0.8069,0.6041,coded_tweets-AND-small-ar,0.5143,0.6468
1,2,0.7117,0.4344,0.7525,0.346,coded_tweets-AND-small-ar,0.1931,0.342
2,2,0.7742,0.5669,0.8033,0.5112,coded_tweets-AND-small-ar,0.3889,0.5621
3,2,0.7906,0.558,0.826,0.4871,coded_tweets-AND-small-ar,0.3753,0.5614
4,2,0.785,0.5936,0.8097,0.5232,coded_tweets-AND-small-ar,0.4364,0.5743
5,2,0.785,0.6268,0.802,0.5663,coded_tweets-AND-small-ar,0.4709,0.6157
6,2,0.7896,0.6242,0.8056,0.5645,coded_tweets-AND-small-ar,0.5008,0.6177
1,3,0.6308,0.1675,0.7503,0.1721,coded_tweets-AND-small-ar,0.0455,0.1598
2,3,0.7246,0.4625,0.7739,0.4303,coded_tweets-AND-small-ar,0.2698,0.4348
3,3,0.7687,0.535,0.7997,0.4699,coded_tweets-AND-small-ar,0.3418,0.5073
4,3,0.7881,0.5612,0.8196,0.5009,coded_tweets-AND-small-ar,0.3948,0.5555
5,3,0.7773,0.5962,0.81,0.5559,coded_tweets-AND-small-ar,0.4747,0.6052
6,3,0.7804,0.6125,0.8042,0.5697,coded_tweets-AND-small-ar,0.4922,0.6134
7,3,0.7871,0.6012,0.8219,0.5645,coded_tweets-AND-small-ar,0.4959,0.6139
