"user_id","user_party","user_state","followed_mcs","followed_mcs_dem","followed_mcs_rep","followed_mcs_dem_n","followed_mcs_rep_n","followed_mcs_sameparty_n","followed_mcs_samestate_n","followed_mcs_samestate_dem_n","followed_mcs_samestate_rep_n","followed_mcs_samestate_sameparty_n","followed_natmedia","followed_natmedia_n","followed_statemedia","followed_statemedia_n","followed_statemedia_samestate","followed_statemedia_samestate_n","followed_partisans_n","followed_partisans_sameparty_n"
"21545986","republican","FL","262756641;58579942;274164368","","262756641;58579942;274164368","0","3","3","2","0","2","2","","0","16297945;32069292;32533893;42888846;30249337","5","16297945;32069292;32533893;42888846;30249337","5","164","162"
"1222179409","republican","VA","37481291;2279098645;323293114;2933760046","","37481291;2279098645;323293114;2933760046","0","4","4","4","0","4","4","","0","17815585;23764675;52461655;54946441","4","17815585;23764675;52461655;54946441","4","164","151"
"1408432652","republican","AZ","20747881;16056306;229197216;240760644;1080844782","20747881;1080844782","240760644;16056306;229197216","2","3","3","5","2","3","3","51241574","1","","0","","0","72","69"
"18883397","democrat","NY","72198806;182217410;33563161;15808765;17494010;111635980;221792092;1072467470;216776631;970207298;164007407;30354991;239548513","72198806;182217410;33563161;15808765;17494010;111635980;221792092;1072467470;970207298;164007407;30354991;239548513","","12","0","12","8","8","0","8","759251;51241574","2","14677919;1624202936;8861182;15738599;17448662;18995454;9763482;807095;17469289;11988052;18198403","11","14677919;1624202936;8861182;11988052;15738599;17448662;18995454;9763482;807095;17469289;18198403","11","450","447"
"386043297","democrat","NY","","","","0","0","0","0","0","0","0","","0","18727106","1","18727106","1","6","6"
"190802051","republican","UT","18170310","","18170310","0","1","1","1","0","1","1","","0","","0","","0","6","6"
"243677635","republican","TX","23022687;13218102","","23022687;13218102","0","2","2","2","0","2","2","","0","16365305;5692542;15679641;44513878;8940342;15615783","6","16365305;5692542;15679641;44513878;8940342;15615783","6","16","12"
"1707399337","republican","MA","343171266;442824717","442824717","343171266","1","1","1","1","1","0","0","","0","95431448;375124368","2","95431448;375124368","2","19","6"
"567532294","democrat","NY","72198806;84119348;454016836;33576489;15764644;29442313;357606935;172858784;476256944;17494010;63169388;216776631;29450962;1055907624;970207298","72198806;84119348;454016836;33576489;15764644;357606935;172858784;476256944;17494010;63169388;29450962;1055907624;970207298","","13","0","13","6","6","0","6","759251;14511951;1367531;51241574","4","14677919;17022537;43805270;18938376;18234041;17448662;18995454;9763482;807095","9","14677919;17022537;43805270;18938376;18234041;17448662;18995454;9763482;807095","9","213","195"
"550591330","republican","MA","","","","0","0","0","0","0","0","0","","0","","0","","0","6","4"
"25728028","republican","NJ","74508260;1473761198;58579942;15808765;2343686814;2962994194;241207373;1289319271;18916432;15745368","74508260;1473761198;15808765","58579942;2343686814;2962994194;241207373;1289319271;18916432;15745368","3","7","7","7","3","4","4","","0","14909815;20524105;17498747;14179819;34677788;11877492;27989791;90914191;16164289","9","14909815;20524105;17498747;14179819;34677788;11877492;27989791;90914191;16164289","9","165","130"
"2890330424","republican","NY","63073834;15874918;2750127259;756285384;252819323","","63073834;15874918;2750127259;756285384;252819323","0","5","5","5","0","5","5","51241574","1","43805270;160667346;336002906;14836971;13436572;20687458;18198403","7","43805270;160667346;336002906;14836971;13436572;20687458;18198403","7","64","61"
"72879187","republican","UT","343171266","","343171266","0","1","1","1","0","1","1","","0","","0","","0","5","4"
"299727253","republican","VA","37481291;1480852568;323293114;2933760046","","37481291;1480852568;323293114;2933760046","0","4","4","3","0","3","3","759251","1","52461655;54946441","2","52461655;54946441","2","31","27"
"1330714418","republican","OH","23022687;2964526557;18915145;2612307559;1074480192;2337241560;234822928;15745368","","23022687;2964526557;18915145;2612307559;1074480192;2337241560;234822928;15745368","0","8","8","4","0","4","4","","0","10424112;31017619;34985745;24209004;38477406;619273364;15763558;31482567;21004741;10685542;807095;619278290","12","34985745;24209004;38477406;619273364;15763558;31482567;21004741;10685542;619278290","9","90","81"
"384059042","democrat","IL","","","","0","0","0","0","0","0","0","","0","","0","","0","0","0"
"580293590","republican","UT","","","","0","0","0","0","0","0","0","","0","","0","","0","0","0"
"385767327","republican","MA","733751245;23022687;242426145;1074480192;216881337;15745368","242426145","733751245;23022687;1074480192;216881337;15745368","1","5","5","1","1","0","0","759251;1367531","2","95431448;15610400;2488541;14420767","4","95431448;15610400;2488541;14420767","4","44","40"
